idiom,meaning
눈 둘 곳 을 모르,어리둥절 하 거나 어색 하 여 눈 길 을 어디 에 두 어야 하 ᆯ지 모르
눈 딱 감,더 이상 다르 ᆫ 것 을 생각 하 지 않
눈 꼭 감,더 이상 다르 ᆫ 것 을 생각 하 지 않
눈딱총 놓,마음 에 들 지 않 거나 밉 어서 쏘아보
눈딱총 쏘,마음 에 들 지 않 거나 밉 어서 쏘아보
눈딱총 을 놓,마음 에 들 지 않 거나 밉 어서 쏘아보
눈딱총 을 쏘,마음 에 들 지 않 거나 밉 어서 쏘아보
눈 뜨 고 못 보,눈 앞 의 광경 이 참혹 하 거나 민망 하 ᆯ 정도 로 아니꼽 어 차마 보 ᆯ 수 없
눈 뜨 고 는 못 보,눈 앞 의 광경 이 참혹 하 거나 민망 하 ᆯ 정도 로 아니꼽 어 차마 보 ᆯ 수 없
눈 뜨 고 보 ᆯ 수 없,눈 앞 의 광경 이 참혹 하 거나 민망 하 ᆯ 정도 로 아니꼽 어 차마 보 ᆯ 수 없
눈 만 뜨 면,깨 어 있 을 때 이 면 항상
눈멀 ᆫ 돈,임자 없 는 돈
눈 물 거두,울 음 을 그치
눈 물 을 거두,울 음 을 그치
눈 물 머금,슬픔 이나 고통 따위 를 억지로 참으 려 애 를 쓰
눈 물 을 머금,슬픔 이나 고통 따위 를 억지로 참으 려 애 를 쓰
눈 물 짜,억지로 울
눈 물 을 짜,억지로 울
눈 물 없,동정 하 는 마음 이 없
눈 물 이 없,동정 하 는 마음 이 없
눈 물 없이,동정 하 는 마음 이 없이
눈 물 이 없이,동정 하 는 마음 이 없이
눈 물 이 앞서,말 을 하 지 못하 고 눈 물 을 먼저 흘리
눈 물 이 앞 을 가리,눈 물 이 자꾸 나오
눈 물 이 헤프,걸핏하면 잘 우 는 편 이
눈 밖에 나,신임 을 잃 고 미움 을 받 게 되
눈 발 서,눈 이 곧 내리 ᆯ 듯 하
눈 발 이 아서 이,눈 이 곧 내리 ᆯ 듯 하
눈 살 찌푸리,마음 에 못 마땅 하 ᆫ 뜻 을 나타내 어 양미 간 을 찡그리
눈 살 을 찌푸리,마음 에 못 마땅 하 ᆫ 뜻 을 나타내 어 양미 간 을 찡그리
눈 살 펴 ᆯ 새 없,"근심 , 걱정 이 가시 지 않"
눈 살 을 펴 ᆯ 새 없,"근심 , 걱정 이 가시 지 않"
눈 살 이 꼿꼿 하,격분 하 거나 새침 하 아서 눈 을 똑바로 뜨
눈 심지 돋우,무엇 이 ᆫ가 를 찾아내 거나 어떤 사실 을 밝히 려고 하
눈 심지 를 돋우,무엇 이 ᆫ가 를 찾아내 거나 어떤 사실 을 밝히 려고 하
눈 썹 도 까딱 하 지 않,아주 태연 하
눈 썹 싸움 을 하,졸 음 이 오 는 데 자 지 않 으려고 애쓰
눈 썹 씨름 을 하,졸 음 이 오 는 데 자 지 않 으려고 애쓰
눈 썹 이 꼿꼿 하,격분 하 거나 새침 하 아서 눈 을 똑바로 뜨
눈 알 나오,몹시 놀라
눈 알 이 나오,몹시 놀라
눈 알 을 곤두세우,성 이 나 서 눈 에 독기 를 띠
눈 알 을 까뒤집,눈 뒤집
눈 알 을 뒤집,주로 좋 지 않 은 일 에 열중 하 여 제 정신 을 잃
눈 알 이 곤두서,화 가 나 서 눈 에 독기 가 오르
눈 알 이 까뒤집히,눈 이 뒤집히
눈 알 이 뒤집히,충격 적 이 ᆫ 일 을 당하 거나 어떤 일 에 집착 하 여 이성 을 잃
눈 알 이 빠지 게 기다리,몹시 애타 게 오랫 동안 기다리
눈 알 이 빠지 도록 기다리,몹시 애타 게 오랫 동안 기다리
눈 알 이 핑핑 돌,의식 이 따라가 지 못하 ᆯ 만큼 바쁘 거나 빠르
눈 앞 에 어른거리,어떤 사람 이나 일 따위 에 관하 ᆫ 기억 이 떠오르
눈 앞 이 새까맣,어찌 하 ᆯ 바 를 모르 아 아득 하
눈 앞 이 캄캄하,어찌 하 ᆯ 바 를 모르 아 아득 하
눈 앞 이 환하 아 지,전망 이나 앞 길 이 뚜렷 하 아 지
눈 에 거칠,보 기 가 싫 어 눈 에 들 지 아니하
눈 에 나,신임 을 잃 고 미움 을 받 게 되
눈 에 넣 어도 아프 지 않,매우 귀엽
눈 에 모 가 서,성나 ᆫ 눈 매 로 보
눈 에 모르 ᆯ 세우 이 다,성나 ᆫ 눈 매 로 노려보
눈 에 밟히,잊히 지 않 고 자꾸 눈 에 떠오르
눈 에 보이 는 것 이 없,사리 분별 을 못 하
눈 에 불 을 달,화 가 나 서 눈 을 부릅뜨
눈 에 불 을 켜,몹시 욕심 을 내 거나 관심 을 기울이
눈 에서 딱정 벌레 가 오 았 다 가 았 다 하,어지럽 어서 갑자기 정신 이 혼미 하 아 지
눈 에서 번개 가 번쩍 나,뺨 이나 머리 따위 를 강하 게 맞
눈 에서 벗어나,감시 나 구속 에서 자유 롭 게 되
눈 에서 황 이 나,몹시 억울 하 거나 질투 가 나
눈 에 쌍 심지 가 나,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 가 돋 아시,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 가 뻗치,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 가 서,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 가 솟,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 가 오르,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 를 켜,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 를 돋우,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 를 세우,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 쌍 심지 를 올리,몹시 화 가 나 서 눈 을 부릅뜨
눈 에 아른거리,어떤 사람 이나 일 따위 에 관하 ᆫ 기억 이 떠오르
눈 에 안경,보잘것없 는 물건 이 라도 저 의 마음 에 들 면 좋 게 보이 ᆫ다
눈 에 익,여러 번 보 아서 익숙 하
눈 에 잘 보이,인정 을 받
눈 에 차,흡족 하 게 마음 에 들
눈 에 칼 날 이 아서 이,표독 스럽 게 눈 을 번쩍이 고 노려보
눈 에 칼 을 세우,표독 스럽 게 눈 을 번쩍이 고 노려보
눈 에 풀 칠 하,잘못 보 ᆫ다
눈 에 핏 발 을 세우,화 를 내 거나 흥분 하
눈 에 핏 발 이 아서 이,화 가 나 서 벼르 거나 흥분 하
눈 에 헛 거미 가 잡히,굶 어서 기운 이 빠지
눈 에 흙 이 들어가,죽 어 땅 에 묻히
눈 에 흙 이 덮이,죽 어 땅 에 묻히
눈 위 에 혹,몹시 밉 어 눈 에 거슬리 는 사람
눈 을 거치,글 따위 를 검토 하 거나 분별 하
눈 을 곤두세우,성 이 나 서 눈 에 독기 를 띠
눈 을 굴리,눈 동자 를 이리 돌리 었
눈 을 끌,마음 이 쏠리
눈 을 의심 하,잘못 보 지 않 았 나 하 여 믿 지 않 고 이상 하 게 생각 하
눈 을 크 게 뜨,정신 을 바짝 차리 고 주의 를 기울이
눈 을 틔우 어 주,현실 을 깨닫 도록 일깨우 어 주
눈 이 가 매 지 게,몹시 기다리 는 모양
눈 이 가 매 지,몹시 기다리 는 모양
눈 이 곤두서,화 가 나 서 눈 에 독기 가 오르
눈 이 까뒤집히,눈 이 뒤집히
눈 이 낮,보 는 수준 이 높 지 아니하
눈 이 동그래지,몹시 놀라 거나 의아 하 여 눈 을 크 게 뜨
눈 이 등잔 만 하,놀라 거나 두렵 어 눈 이 휘둥그레지
눈 이 뚫어지 게,꼼짝 않 고 한 곳 을 응시 하 는 모양
눈 이 뚫어지,꼼짝 않 고 한 곳 을 응시 하 는 모양
눈 이 무디,사물 을 보 고 깨닫 는 힘 이 약하
눈 이 번쩍 뜨이,정신 이 갑자기 들
눈 이 빠지 게 기다리,몹시 애타 게 오랫 동안 기다리
눈 이 빠지 도록 기다리,몹시 애타 게 오랫 동안 기다리
눈 이 산 밖 에 비어지,지나치 게 흥분 하 고 격노 하 여 이성 을 잃 을 지경 에 이르
눈 이 시뻘겋,눈 이 벌겋
눈 이 시퍼렇 게 살 아 있,멀쩡 하 게 살 아 있
눈 이 여리,감정 이 모질 지 못하 여 눈 물 을 잘 보이
눈 이 열리,이해 하 는 안목 이 생기
눈 이 캄캄하,정신 이 아찔 하 고 생각 이 콱 막히 ᆫ 상태 이
눈 이 트이,사물 이나 현상 을 판단 하 ᆯ 줄 알 게 되
눈 이 핑핑 돌아가,의식 이 따라가 지 못하 ᆯ 만큼 바쁘 거나 빠르 ᄆ
눈 이 화 등잔 같,놀라 거나 두렵 어 눈 이 커지
눈 이 화 등잔 火 燈盞 같,놀라 거나 두렵 어 눈 이 커지
눈 자위 꺼지,사람 이 죽
눈 자위 가 꺼지,사람 이 죽
눈 총 맞,남 의 미움 을 받
눈 총 을 맞,남 의 미움 을 받
눈 총 쏘,몹시 쏘아보 거나 노려보
눈 총 을 쏘,몹시 쏘아보 거나 노려보
눈 치 다르,태도 나 하 는 짓 이 이상 스럽
눈 치 가 다르,태도 나 하 는 짓 이 이상 스럽
눈 치 보이,남 의 마음 과 태도 를 살피 게 되
눈 치 가 보이,남 의 마음 과 태도 를 살피 게 되
눈 치 빠르,남 의 마음 을 남다르 게 빨리 알아채
눈 치 가 빠르,남 의 마음 을 남다르 게 빨리 알아채
눈 치 보다,남 의 마음 과 태도 를 살피
눈 치 를 보,남 의 마음 과 태도 를 살피
눈 치 살피,남 의 눈 치 를 엿보
눈 치 를 살피,남 의 눈 치 를 엿보
눈 치 코치 다 알,온갖 눈 치 를 다 짐작 하 여 알 ㄴ다
눈 치 코치 도 모르,도무지 남 의 생각 이나 태도 를 알아차리 지 못하
눈칫 밥 먹,다른 사람 의 눈 치 를 살피 면서 기 를 펴 지 못하 고 불편 하 게 생활 하
눈칫 밥 을 먹,다른 사람 의 눈 치 를 살피 면서 기 를 펴 지 못하 고 불편 하 게 생활 하
눈 코 뜨 ᆯ 사이 없,정신 못 차리 게 몹시 바쁘
눈 코 사이,가깝 ᆫ 거리
눈 표 나,눈 에 잘 띄
눈 표 가 나,눈 에 잘 띄
눈 하나 깜짝 안 하,태도 나 기색 이 아무렇 지 도 않 은 듯이 예사 롭 게 굴
누구 의 고르 아 내,많 은 것 들 중 에서 꼼꼼히 고르 아 내
느루 가,양식 이 일정 하 ᆫ 예정 보다 더 오래가
느루 먹,양식 을 절약 하 여 예정 보다 더 오랫 동안 먹
느루 잡,시일 이나 날 짜 를 느직 하 게 예정 하
느루 재,하 기 싫 어서 억지로 느리 게 행동 하
늑 줄 주,엄하 ᆫ 감독 을 느슨 하 게 하 여 조금 자유 롭 게 하
늑 줄 을 주,엄하 ᆫ 감독 을 느슨 하 게 하 여 조금 자유 롭 게 하
늘 고 줄 고 하,융통 성 이 있
늘어지 게 자,피로 가 풀리 도록 실컷 자
늙 은 이 뱃 가죽 같,쭈글쭈글 하
능라 도 수박 같,맛 이 없
능지 되,매 를 몹시 맞 아 몸 을 가누 ᆯ 수 없 게 되
능지 가 되,매 를 몹시 맞 아 몸 을 가누 ᆯ 수 없 게 되
다랑 귀 떼,두 손 으로 붙잡 고 매달리 며 놓 지 아니하 려 하
다랑 귀 를 떼,두 손 으로 붙잡 고 매달리 며 놓 지 아니하 려 하
다랑 귀 뛰,두 손 으로 붙잡 고 매달리 며 놓 지 아니하 려 하
다랑 귀 를 뛰,두 손 으로 붙잡 고 매달리 며 놓 지 아니하 려 하
다른 것 이 아니,다른 까닭 이 있 는 것 이 아니
다르 ᄆ 아니,다른 까닭 이 있 는 것 이 아니
다르 ᄆ 이 아니,다른 까닭 이 있 는 것 이 아니
다르 ᄆ 아니 ᆫ,다른 것 이 아니 라 바로
다리 건너,말 이나 물건 따위 가 어떤 한 사람 을 거치 어 다른 사람 에게 넘어가
다리 넘,말 이나 물건 따위 가 어떤 한 사람 을 거치 어 다른 사람 에게 넘어가
다리 를 건너,말 이나 물건 따위 가 어떤 한 사람 을 거치 어 다른 사람 에게 넘어가
다리 를 넘,말 이나 물건 따위 가 어떤 한 사람 을 거치 어 다른 사람 에게 넘어가
다리 놓,일 이 잘 되게 하 기 위하 여 둘 또는 여럿 을 연결 하
다리 를 놓,일 이 잘 되게 하 기 위하 여 둘 또는 여럿 을 연결 하
다리 뻗 고 자,마음 놓 고 편히
다리 펴 고 자,마음 놓 고 편히
다리 를 뻗 고 자,마음 놓 고 편히
다리 를 펴 고 자,마음 놓 고 편히
다리 가 길,먹 을 복 이 있
다리 가 짧,흠 이 있 거나 지체 가 낮
다리 를 들리,미리 손쓰 ᆯ 기회 를 빼앗기
다리 를 잇,끊어지 ᆫ 관계 를 다시 맺 어 통하 게 되
다리야 날 살리 어라,매우 다급 하 게 도 망침
다리 품 팔,길 을 많이 걷
다리 품 을 팔,길 을 많이 걷
다리 ᄆ 보다,이해 관계 를 노리 어 살펴보
다리 ᄆ 을 보,이해 관계 를 노리 어 살펴보
다릿 골 빠지,길 을 많이 걷 어서 다리 가 몹시 피로 하 아 지
다릿 골 이 빠지,길 을 많이 걷 어서 다리 가 몹시 피로 하 아 지
다 짐 놓,다 짐 을 하 도록 억지로 요구 하
다 짐 을 놓,다 짐 을 하 도록 억지로 요구 하
다 짐 두,틀리 ᄆ 이 없 도록 다지 ᄆ 을 하
다 짐 을 두,틀리 ᄆ 이 없 도록 다지 ᄆ 을 하
단근 질 참,매우 참 기 어렵 ᆫ 것 을 참 는 경우
단근 질 을 참,매우 참 기 어렵 ᆫ 것 을 참 는 경우
단두 대 에 오르,사형 을 당하 게 되 거나 저지르 ᆫ 죄 의 심판 을 받 게 되
단두 대 의 이슬 로 사라지,사형 대 에서 처형 되 어 죽
단 불 에 나비 죽,맥없이 스러지 듯 죽 어 가 는 것
단 불 에 나비 잡,맥없이 스러지 듯 죽 어 가 는 것
달 가 시,사람 이 죽 어서 부정 하 다고 생각 되 는 달 이 지나가
달 이 가 시,사람 이 죽 어서 부정 하 다고 생각 되 는 달 이 지나가
달 차 이 다,아이 를 배 어 낳 을 달 이 되
달 이 차,아이 를 배 어 낳 을 달 이 되
달 게 굴,붙잡 고 매달리 어 몹시 조르
달 고 쓰 ᆫ 맛 을 보,"생활 의 좋 은 일 , 나쁘 ᆫ 일 , 즐겁 ᆫ 일 , 괴롭 ᆫ 일 을 다 겪"
달 고 쓰 ᆫ 맛 을 겪,"생활 의 좋 은 일 , 나쁘 ᆫ 일 , 즐겁 ᆫ 일 , 괴롭 ᆫ 일 을 다 겪"
달 다 쓰 다 말 없,아무런 반응 도 나타내 지 않
달 다 쓰 다 말 이 없,아무런 반응 도 나타내 지 않
달 밤 에 체조 하,격 에 맞 지 않 은 짓 을 하 ᄆ 을 핀잔 하 는 말
달팽이 눈 이 되,겁 이 나 ᆯ 때 에 움찔 하 고 기운 을 펴 지 못하
달팽이 뚜껑 덮,좀처럼 말 을 하 지 않
달품 팔,한 달 동안 일 하 ᆫ 다음 달 삯 을 받 기 로 하 고 품 을 팔
달품 을 팔,한 달 동안 일 하 ᆫ 다음 달 삯 을 받 기 로 하 고 품 을 팔
닭 똥 같 은 눈 물,몹시 방울 이 굵 은 눈 물
닭 물 먹,무슨 일 이 든 그 내용 도 모르 고 건성 으로 넘기 는 모양
닭 발 그리,글 을 쓰 거나 그림 을 그리 는 솜씨 가 매우 서툴 고 어색 하 ᄆ
닭 싸우,"크 게 으르 지 도 못하 고 , 서로 엇바꾸 어 가 며 상대 를 치 고 받 고 싸우 는 모습"
닭 이 헤집 어 놓 은 것 같,몹시 어지럽 고 무 질서 하 게 널리 어 있
닳 고 닳,세상 일 에 시달리 어 약아빠지
담 구멍 을 뚫,도둑 질 을 하
담쌓 고 벽 치 ᆫ다,서로 잘 지내 던 사이 를 끊 고 지내
담 을 지,어떤 일 에 전혀 관계 하 지 않
담 이 결리,몸 의 어떤 부분 이 뜨끔 뜨끔 아프 거나 뻐근 하 ᆫ 느낌 이 들
답답 하 ᆫ 송사 이 다,어떤 일 이 몹시 답답 하 ᄆ
답 이 안 나오,해결 방법 이 마련 되 거나 떠오르 지 아니하
답치기 놓,질서 없이 함부로 덤벼들
답치기 를 놓,질서 없이 함부로 덤벼들
당 채련 바지 저고리,지저분 하 고 더럽 ᆫ 헌 옷
닻 주,일정 하 ᆫ 곳 에 머물
닻 을 주,일정 하 ᆫ 곳 에 머물
닻 을 감,하 던 일 을 걷어치우 고 단념 하
닻 을 올리,어떤 일 을 시작 하 려 하
대가리 굵,머리 가 크
대가리 가 굵,머리 가 크
대가리 크,머리 가 크
대가리 가 크,머리 가 크
대가리 굴리,생각 하
대가리 를 굴리,생각 하
대가리 가 비,무식 하
대가리 가 터지 도록 싸우,몹시 심하 게 치 고 때리 면서 싸우
대가리 가 터지 게 싸우,몹시 심하 게 치 고 때리 면서 싸우
대가리 를 싸 고 덤비,모든 힘 을 다 하 여 덤비
대가리 에 피 도 안 마르,나이 가 어리
대가리 의 물 도 안 마르,나이 가 어리
대 꼬챙이 로 째 는 소리 를 하 ᆫ다,유난히 날카롭 ᆫ 소리 를 지르
대돈 변 을 내 ㅓ서 라도,무슨 변통 을 하 ㅕ서
대 매 에 때리 어 죽이 ᆯ 놈,크 게 잘못 하 ᆫ 사람
대 못 을 박,못 을 박
대문 을 열,일정 하 ᆫ 조직 에 새로 성원 을 받아들이
대반 앉,대반 의 역할 을 하
대봉 치,다른 것 으로 대신 채우
대봉 을 치,다른 것 으로 대신 채우
대우 파,다른 작물 을 심 은 밭 이랑 에 콩 이나 팥 따위 를 심
대우 내,다른 작물 을 심 은 밭 이랑 에 콩 이나 팥 따위 를 심
대우 치,다른 작물 을 심 은 밭 이랑 에 콩 이나 팥 따위 를 심
대우 를 파,다른 작물 을 심 은 밭 이랑 에 콩 이나 팥 따위 를 심
대우 를 내,다른 작물 을 심 은 밭 이랑 에 콩 이나 팥 따위 를 심
대우 를 치,다른 작물 을 심 은 밭 이랑 에 콩 이나 팥 따위 를 심
대중 삼,어림 짐작 의 표준 으로 삼
대중 을 삼,어림 짐작 의 표준 으로 삼
대중 잡,어림 짐작 으로 헤아리 어 짐작 하
대중 을 잡,어림 짐작 으로 헤아리 어 짐작 하
대중 치,어림 짐작 으로 셈 치
대중 을 치,어림 짐작 으로 셈 치
대포 놓,허풍 을 치 거나 터무니없 는 거짓 말 을 하
대포 를 놓,허풍 을 치 거나 터무니없 는 거짓 말 을 하
대한 의 운예,어떤 일 이 일어나 기 를 갈망 하 ᄆ
대한 의 운예 雲霓,어떤 일 이 일어나 기 를 갈망 하 ᄆ
덥 ᆫ 피,의롭 ᆫ 일 을 위하 여 바치 는 피
더위 들,여름 철 에 더위 때문 에 몸 에 이상 증세 가 생기
더위 가 들,여름 철 에 더위 때문 에 몸 에 이상 증세 가 생기
더위 먹,여름 철 에 더위 때문 에 몸 에 이상 증세 가 생기
더위 를 먹,여름 철 에 더위 때문 에 몸 에 이상 증세 가 생기
더위 사,한 여름 에 더위 를 먹 게 되 ᄆ
더위 를 사,한 여름 에 더위 를 먹 게 되 ᄆ
더위 팔,한 여름 에 더위 를 먹 게 되 ᄆ
더위 를 팔,한 여름 에 더위 를 먹 게 되 ᄆ
덕 보다,남 에게 이익 이나 도움 을 입
덕 을 보,남 에게 이익 이나 도움 을 입
덕 되,이익 이나 도움 이 되
덕 이 되,이익 이나 도움 이 되
덜미 잡히,못 되 ᆫ 일 따위 를 꾸미 다가 발각 되
덜미 를 잡히,못 되 ᆫ 일 따위 를 꾸미 다가 발각 되
덜미 짚,덜미 를 잡 아 누르 듯이 몹시 재촉 하
덜미 를 짚,덜미 를 잡 아 누르 듯이 몹시 재촉 하
덜미 치,약점 이나 제일 중요 하 ᆫ 곳 에 공격 을 하 거나 타격 을 가하
덜미 를 치,약점 이나 제일 중요 하 ᆫ 곳 에 공격 을 하 거나 타격 을 가하
덜미 가 잡히,죄 가 드러나
덜미 를 넘겨짚,남 의 속 을 떠보
덜미 를 누르,몹시 재촉 하 거나 몰아세우
덜미 를 누르 어 놓,상대 편 의 약점 을 잡 아서 꼼짝 못 하 게 하
덜미 를 잡,꼼짝 못 하 게 하
덜미 를 쥐,꼼짝 못 하 게 하
덧 둘 이 치,덧 두리 를 가로채
덧 두리 를 치,덧 두리 를 가로채
덩더꿍이 소출,"돈 이 생기 면 생기 ᆫ 대로 흥청망청 쓰 고 , 없 으면 어렵 게 지내 ᄆ"
